id,generate id,RFID,generalInfo.name,generalInfo.discipline,generalInfo.nfdiConsortia,generalInfo.domain,generalInfo.altName,generalInfo.provider,generalInfo.RDItype,generalInfo.description,generalInfo.contactName,generalInfo.contactEmail,generalInfo.url,generalInfo.re3dataIdentifier,generalInfo.datasetsSearchCollectionId,generalInfo.Type_of_resources_present ,generalInfo.License,generalInfo.license_source_link,generalInfo.Type_of_access_rights ,generalInfo.NFDI_link,lawAndEthics.dataProvider,lawAndEthics.instituteType,lawAndEthics.complianceMeasures,lawAndEthics.dataTypes,lawAndEthics.applicableRegulations,lawAndEthics.accessRights,lawAndEthics.embargoPeriod,technicalInfo.metadataStandards.standards,technicalInfo.metadataStandards.interoperabilityLevel,technicalInfo.accessProtocols.supportedProtocols,technicalInfo.accessProtocols.authenticationMethods,technicalInfo.accessProtocols.persistentIdentifiers,technicalInfo.maintenance.softwareLicense,technicalInfo.maintenance.sustainabilityPlan,technicalInfo.maintenance.supportServices,technicalInfo.maintenance.updateFrequency,FAIRness.findability.persistentIdentifier,FAIRness.findability.richMetadata,FAIRness.findability.indexedInSearchEngines,FAIRness.findability.metadataSchema,FAIRness.findability.metadataPersistence,FAIRness.accessibility.retrievalProtocol,FAIRness.accessibility.authenticationRequired,FAIRness.accessibility.authenticationType,FAIRness.accessibility.metadataAlwaysAvailable,FAIRness.accessibility.dataAvailability,FAIRness.interoperability.knowledgeRepresentation,FAIRness.interoperability.vocabulariesUsed,FAIRness.interoperability.qualifiedReferences,FAIRness.interoperability.apiAvailability,FAIRness.interoperability.dataFormats,FAIRness.reusability.licenseClarity,FAIRness.reusability.provenanceInfo,FAIRness.reusability.communityStandards,FAIRness.reusability.documentationQuality,FAIRness.reusability.citationGuidelines,FAIRness.assessmentDate,FAIRness.assessmentMethod,FAIRness.overallFAIRScore,agriculturalContext.researchDomains,agriculturalContext.cropTypes,agriculturalContext.geographicCoverage,agriculturalContext.temporalCoverage.startYear,agriculturalContext.temporalCoverage.endYear,agriculturalContext.temporalCoverage.temporalResolution
33,RFId033202606012,RFId033202604272,Thünen Atlas,Life Sciences," FAIRagro, NFDI4Biodiversity","Geological sciences, Life Sciences, Plant Sciences, Agricultural Sciences, Soil Sciences, Ecology of Land Use, Animal Breeding, Veterinary Medical Science, Animal Husbandry, Atmospheric science, Animal Nutrition",,Johann Heinrich von Thünen-Institut ,Data portal ,"An interactive geoportal publishing comprehensive spatial data and interactive maps on rural development, agriculture, forestry, and marine ecosystems across Germany. It serves as a central access point for thematic atlases and geodata produced by the Thünen Institute, with data available via standardized APIs for integration into GIS applications and analysis tools",Franziska Mau,"info@thuenen.de, franziska.mau@thuenen.de",https://atlas.thuenen.de/,r3d100014743,thuenenatlas,Datasets (geospatial data and observational data),Open access (publicly accessible); some data are restricted (certain datasets require authorization),https://atlas.thuenen.de/legal_notice/,unrestricted,https://FAIRagro.net/en/services/search-hub/our-research-data-infrastructure/,Johann Heinrich von Thünen-Institut ,,,,,unrestricted,,,,,,,,,,,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,,,,,,,,,
34,RFId034202606012,RFId034202604272,Tierseuchennachrichtensystem,Life Sciences,NFDI4Microbiota,Veterinary Medical Science,Animal Disease Information System,Friedrich-Loeffler-Institut,Information system ,TSN is Germany’s unified electronic system for recording and monitoring outbreaks of notifiable animal diseases (since 1995) and reportable animal diseases (since 1997),,tsn@fli.de,https://tsis.fli.de/cadenza/,r3d100014749,,Outbreak reports and surveillance datasets (tabular data of animal disease cases) with geospatial information (locations of outbreaks),Nutzungsbestimmungen für die Bereitstellung von Geodaten des Bundes” (GeonutzV – Federal Geodata Provision Usage Terms) – essentially an open data usage policy for federal geodata,https://gdi-catalog.bmel.de/srv/api/records/669B6E81-BDE8-414C-B04F-D3EEF262880B,partially restricted,https://www.mdpi.com/2813-0227/4/1/7,Friedrich-Loeffler-Institut,,,,,partially restricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,RFId035202606012,RFId035202604272,BacDive - Bacterial Diversity Database,Life Sciences,"NFDI4Microbiota, NFDI4Biodiversity",Life Sciences,"Leibniz Institute DSMZ-German Collection of Microorganisms and Cell Cultures, Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen,  Deutsche Sammlung von Mikroorganismen und Zellkulturen, DSMZ",Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,Repository,"The DSMZ Open Collection is the publicly accessible portion of the DSMZ biorepository. It comprises microbial strains (bacteria, archaea, fungi), human and animal cell lines, plant viruses, bacteriophages, microbial plasmids and DNA, etc., all of which are deposited and made available to the international research community. (The DSMZ “collects biological material of applied, biotechnological, educational, taxonomic, and general interest” and makes it freely accessible once deposited",Lorenz Reimer,"contact@dsmz.de, lorenz.reimer@dsmz.de",https://www.dsmz.de/,r3d100010219,,"Cultures and biological materials: bacterial, archaeal and fungal strains; human and animal cell lines; plant viruses; bacteriophages; microbial plasmids and genomic DNA, etc. (DSMZ’s collection contains >73,700 items, including ~31,900 bacterial strains, 6,600 fungal strains, 840 cell lines, 1,500 plant viruses, 700 bacteriophages, and 19,000 bacterial DNA samples",Copyright (DSMZ holds all rights; reuse requires attribution/permission),https://www.dsmz.de/imprint,unrestricted,https://www.nfdi.de/nfdi4microbiota,Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH,,,,,unrestricted,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,
36,RFId036202606012,RFId036202604272,HUB - Long-term field tests,Life Sciences,FAIRagro,Agricultural Sciences,eaching and Research Station for Crop Science (Humboldt University Berlin).,"Humboldt-Universität zu Berlin, Albrecht Daniel Thaer-Institut für Agrar- und Gartenbauwissenschaften",Infrastructure,"The station manages multiple multi-decade agricultural field trials at two sites (Berlin-Dahlem and Thyrow, Brandenburg). Key experiments include long-term fertilizer, irrigation and nutrient-deficiency trials (e.g. a winter rye nutrient-deficiency experiment started in 1937) that track crop yields, soil properties and carbon dynamics",Michael Baumecker,michael.baumecker@agrar.hu-berlin.de,https://www.agrar.hu-berlin.de/de/institut/einrichtungen/freiland/standardseite,,,Research datasets from long-term agricultural field experiments,Copyright © Humboldt-Universität zu Berlin (all rights reserved),https://www.agrar.hu-berlin.de/de/institut/einrichtungen/freiland/Impressum,,,"Humboldt-Universität zu Berlin, Albrecht Daniel Thaer-Institut für Agrar- und Gartenbauwissenschaften",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,RFId037202606012,RFId037202604272,FLOPOknb,Life Sciences,NA,"Ontology, Life Sciences",,Senckenberg,Service,"The FLOPOknb comprises a knowledge base (knb) of morphological traits and phenotype data text-mined from Floras, monographies and thematic databases. All data are annotated using the Flora Phenotype Ontology (FLOPO) and other OBO ontologies to enable integration and interoperability with other data sources in the agro-, biodiversity or Earth System Sciences.",,claus.weiland@senckenberg.de,,,,,,,,,Senckenberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,RFId038202606012,RFId038202604272,PlantsDB (UC PANGENOME),Life Sciences,NA,uncategorized,,HMGU,Information system ,"MIPS PlantsDB is a member resource in the European Union-funded transPLANT initiative, a project aimed to enhance the inter-connectivity of distributed plant genome resources and databases within Europe and internationally and to support the development of plant genome resources as well as common standards.",,,https://mips.helmholtz-muenchen.de/plant/genomes.jsp,,,,,,,,HMGU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,RFId039202606012,RFId039202604272,RAKIP-Web Model Repository,Life Sciences,NA,"Life Sciences, Food Safety","BfR, RAKIP (UC HEFS4AGRI) ",German Federal Institute for Risk Assessment,Disciplinary,"The RAKIP-Web Model Repository is a specialized, web-based repository for sharing and discovering computational models used in food safety risk assessment. Hosted by the German Federal Institute for Risk Assessment (BfR), it serves as the central platform for the RAKIP (Risk Assessment Modelling and Knowledge Integration Platform) initiative. Its core purpose is to foster transparency, reproducibility, and reuse in predictive microbiology and chemical exposure assessment by providing a curated, standardized collection of models. The repository primarily hosts models that comply with the international FSKX (Food Safety Knowledge Markup Language) standard, ensuring they are interoperable and executable with compatible software tools like FSK-Lab. It features a public area for discovering models and a protected area for submission and curation, governed by a formal curation policy to maintain quality and standardization. ",,"foodrisklabs@bfr.bund.de, silebat@bfr.bund.de ",https://knime.bfr.berlin/landingpage/RAKIP-Model-Repository,r3d100014752,,Computational models used in food safety risk assessment,CC,https://spdx.org/licenses/CC-BY-4.0.html,unrestricted,,German Federal Institute for Risk Assessment,,,,,unrestricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,RFId040202606012,RFId040202604272,ACTApro,Life Sciences,NA,Life Sciences,,Staatliche Archive Bayern,Repository,"ACTApro is archival software used for cataloging and managing archival materials. ACTApro was developed in 2006 by startext GmbH in cooperation with the Historical Archive of the City of Cologne . ACTApro is used in small and large municipal, church, university, and corporate archives in Germany and Austria.",,,https://www.actapro.de/,,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,RFId041202606012,RFId041202604272,ATB Research Data Catalogue,Life Sciences,NA,Life Sciences,,ATB Potsdam,,"The library provides a modern reading room with five workplaces, internet access, microfiche-viewer, collections of scientific magazines and journales. The ATB-library is a reference library which purpose is to reflects the research areas and ongoing projects of the ATB in the field of agricultural, environmental and process engineering. The ATB-library is an open-stack, non-lending facility. External users may consult literature in the reading room. The library participates in the interlibrary loan services. For orders made on the interlibrary loan request form, photocopies of items up to 20 pages are delivered free of charge within Germany.",,bibliothek@atb-potsdam.de,https://www.atb-potsdam.de/en/research/research-infrastructure/library,fairagro41,,,,,,,ATB Potsdam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,RFId042202606012,RFId042202604272,Geo Data Server,Life Sciences,NA,Life Sciences,Geodatenserver Diabek,Weihenstephan-Triesdorf University of Applied Sciences (HSWT),,"The Diabek Geodata Server (Geodatenserver) is a specialized digital platform developed by the Weihenstephan-Triesdorf University of Applied Sciences (HSWT) for the Diabek precision farming research project.

It functions as a secure data-sharing hub designed specifically to bridge the gap between agricultural research and field practice. The server enables farmers and researchers to securely upload, exchange, and process spatial agricultural data. This includes critical geographic datasets such as field boundaries, soil maps, and yield records, which are essential for designing site-specific, variable-rate management strategies (like prescription maps for fertilization and seeding) that optimize resource efficiency and environmental protection.",Prof. Dr. Patrick Noack,patrick.noack@hswt.de,https://geodaten.triesdorf.hswt.de/#/,fairagro42,,,,,,,Weihenstephan-Triesdorf University of Applied Sciences (HSWT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,RFId043202606012,RFId043202604272,IoT Frontend,Life Sciences,NA,Life Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,RFId044202606012,RFId044202604272,AFiD - Panel Argiculture structure,Life Sciences,NA,Life Sciences,,,,"The AFiD Agricultural Structure Panel provides information on land use, livestock numbers, organic farming, employment figures and ownership and tenancy relationships, among other things. It enables both static and dynamic analysis of agricultural holdings.",,fdz@statistik-nord.de,https://www.forschungsdatenzentrum.de/de/agrar/afid-panel-agrar,fairagro44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,RFId045202606012,RFId045202604272,ASS - Argicultural structure survey,Life Sciences,NA,Life Sciences,,,,"Destatis is the leading provider of official statistical information about Germany. Its primary mission is to collect, process, analyze, and publish objective, independent, and highly reliable statistical data concerning the country's economy, society, environment, and population. The website serves as a public repository for key national metrics—such as the inflation rate, gross domestic product (GDP), employment figures, and demographic changes. This data is widely used by policy-makers, researchers, businesses, and the general public to make informed, evidence-based decisions.",Juliane Gude,"info@destatis.de, post@destatis.de, internetredaktion@destatis.de",https://www.destatis.de,fairagro45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,RFId046202606012,RFId046202604272,FADN - Farm Accountancy Data Network,Life Sciences,NA,Life Sciences,,,,"In the database the standard results are available, a set of statistics that are periodically produced and published by the Commission. They describe in considerable detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.",,agri-ext-helpdesk@ec.europa.eu,https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FADNDatabase.html,fairagro46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,RFId047202606012,RFId047202604272,IACS / InVeKoS,Life Sciences,NA,Life Sciences,,"Directorate-General for Agriculture and Rural Development (DG AGRI), European Commission",,"The European Commission's ""Managing payments"" page outlines the governance and financial architecture used to distribute and monitor funds under the Common Agricultural Policy (CAP). Operating under the principle of ""shared management,"" the European Commission delegates the execution of payments to accredited national paying agencies within each EU member state, while maintaining overall financial responsibility and oversight. To ensure transparency, accountability, and the legal compliance of billions of euros in agricultural subsidies, the framework utilizes the Integrated Administration and Control System (IACS). This system leverages digital tools, including geo-spatial field data and satellite monitoring via the Area Monitoring System (AMS), to track farm compliance, verify funding eligibility, and prevent financial irregularities.",,AGRI-EUROPA-UPDATE@ec.europa.eu,https://agriculture.ec.europa.eu/common-agricultural-policy/financing-cap/assurance-and-audit/managing-payments_en,fairagro47,,,,,,,"Directorate-General for Agriculture and Rural Development (DG AGRI), European Commission",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,RFId048202606012,RFId048202604272,BORIS - Standard land values,Life Sciences,NA,Life Sciences,,,,"BORIS-D is a joint project of several federal states. The aim of the project is to make standardized, web-based and easily accessible land values from the expert committees for land values available to the general public across all federal states.",,,https://www.bodenrichtwerte-boris.de/boris-d,fairagro48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,RFId049202606012,RFId049202604272,BVVG - Tender result and rental prices,Life Sciences,NA,Life Sciences,,,,The BVVG manages former state-owned agricultural and forestry land in the five eastern German federal states. The current tenders are based on the 2024 land management principles.,,kontakt@bvvg.de,https://www.bvvg.de/,fairagro49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,RFId050202606012,RFId050202604272,Expert committees,Life Sciences,NA,Life Sciences,,Landesvermessung und Geobasisinformation Brandenburg,,"This page belongs to the Oberer Gutachterausschuss für Grundstückswerte im Land Brandenburg (The Upper Committee of Property Valuation Experts in the State of Brandenburg). It is an independent, specialized governmental body consisting of property valuation experts. The committee's primary responsibility is to maintain transparency in the real estate market across the federal state of Brandenburg. They analyze real estate transactions, compile state-wide market overviews, provide standardized guidelines for land and property valuation, and evaluate complex valuation issues, including specialized assessments for agricultural and forestry land values.",,oberer.gutachterausschuss@geobasis-bb.de,https://gutachterausschuss.brandenburg.de/gaa/de/gutachterausschuesse/oberer-gutachterausschuss/#,,,,,,,,Landesvermessung und Geobasisinformation Brandenburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,RFId051202606012,RFId051202604272,BioImage Archive,Life Sciences,NFDI4BIOIMAGE,Life Sciences,,EMBL-EBI (European Molecular Biology Laboratory - European Bioinformatics Institute).,,The BioImage Archive is a foundational public repository for biological and biomedical imaging data. It accepts microscopy datasets of all scales linked to peer-reviewed publications—spanning from whole organism imaging down to the molecular level. It serves as a primary repository to help researchers meet data-sharing mandates from funders and publishers.,,bioimage-archive@ebi.ac.uk,https://www.ebi.ac.uk/bioimage-archive/,fairagro51,,,,,,https://nfdi4bioimage.de/en/services/#repositories,EMBL-EBI (European Molecular Biology Laboratory - European Bioinformatics Institute).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,RFId052202606012,RFId052202604272,Image Data Resource,Life Sciences,NFDI4BIOIMAGE,Life Sciences,,University of Dundee and EMBL-EBI,,"The IDR is a highly curated public repository providing highly annotated, reference-grade biological image datasets from published scientific research. Unlike a general archive, the IDR integrates image data with detailed metadata describing experimental targets (such as genes, small molecules, or phenotypes), making it fully searchable and ideal for reuse in data mining or machine learning.",,idr@openmicroscopy.org,https://idr.openmicroscopy.org/,fairagro52,,,,,,https://nfdi4bioimage.de/en/services/#repositories,University of Dundee and EMBL-EBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,RFId053202606012,RFId053202604272,Electron Microscopy Public Image Archive,Life Sciences,NFDI4BIOIMAGE,Life Sciences,,EMBL-EBI,,"EMPIAR is a specialized public repository for raw, high-resolution image data. It stores the massive structural data used to generate 3D cryo-EM maps and tomograms, alongside 3D datasets produced by volume electron microscopy, as well as soft and hard X-ray tomography techniques. It serves as an essential companion archive to the Protein Data Bank (PDB) and EM Data Bank (EMDB).",,empiar@ebi.ac.uk,https://www.ebi.ac.uk/empiar/,,,,,,,https://nfdi4bioimage.de/en/services/#repositories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,RFId054202606012,RFId054202604272,Preclinical Image Dataset Repository,Life Sciences,NFDI4BIOIMAGE,Life Sciences,,"Institute of Biostructures and Bioimaging (IBB-CNR), Italy",,"PIDAR is an open-access repository that catalogs detailed structural metadata for preclinical animal imaging datasets (across modalities like CT, MRI, PET, SPECT, and Ultrasound) linked to peer-reviewed publications. It provides a specialized data model to organize, discover, and share preclinical research according to strict FAIR principles.",,preclinicaldata@eurobioimaging.eu,https://pidar.hpc4ai.unito.it/Datasets/Index,,,,,,,https://nfdi4bioimage.de/en/services/#repositories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,RFId055202606012,RFId055202604272,German Human Genome-Phenome Archive,Life Sciences,GHGA,Life Sciences,GHGA,"GHGA Consortium (coordinated by German Cancer Research Center – DKFZ, 
with partners including EMBL Heidelberg, University of Tübingen, 
Heidelberg University Hospital, Charité Berlin, University Medical Center Göttingen, 
Technical University of Munich, Max Delbrück Center Berlin, and Helmholtz Zentrum München)",Repository,"The German Human Genome-Phenome Archive (GHGA) is a dedicated repository for storing and sharing diverse genomic and phenotypic data from a wide range of scientific studies, including clinical trials, population research, routine healthcare, and biomedical investigations usually coming from research institutions in Germany.",,contact@ghga.de,https://data.ghga.de/,r3d100014563,,Datasets from experimental and genomic data ,CC,https://zenodo.org/records/14357642,restricted,https://data.ghga.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,RFId056202606012,RFId056202604272,NFDI4Immuno Data Portal,Life Sciences,NFDI4Immuno,Life Sciences,,NFDI4Immuno consortium (coordinated by DKFZ – German Cancer Research Center),Infrastructure,"Platform for uploading, browsing and analyzing immunological datasets in FAIR format (including AIRR-seq and flow cytometry data); provides metadata-guided submission, dataset exploration and analysis pipelines
",,info@nfdi4immuno.de,https://www.nfdi4immuno.de,,,"Datasets (immunology research data: AIRR-seq, flow cytometry), metadata and analysis tools",,,partially restricted,https://www.drfz.de/en/forschungsprojekte/nfdi4immuno/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,RFId057202606012,RFId057202604272,PLANTdataHUB,Life Sciences,DataPLANT,"Life Sciences, Agricultural Sciences",,University of Freiburg,,"The PLANTdataHUB platform provides a resource, enabling modern RDM for the plant community with state-of-the art knowledge organization. It combines existing free and open-source platforms and standards to store and organizes ARCs in a central repository. Moreover, it supports ARCs with facilities for automated quality control, data interrogation, and collaboration workflows. PLANTdataHUB is also a software-as-a-service blueprint, and instances can be realized at any level (personal, institutional, or global) that is convenient for the supported research process, while retaining full interoperability with the central instance and each other. In this manuscript, we describe the architecture of the PLANTdataHUB and explore the design choices underlying it.",,info@nfdi4plants.org,https://git.nfdi4plants.org/explore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,RFId058202606012,RFId058202604272,ARChive,Life Sciences,DataPLANT,"Life Sciences, Agricultural Sciences",,University of Freiburg,,"The ARChive (archive.nfdi4plants.org) is the central, open-access data publication and long-term storage repository for the German plant science research community. Operating under the DataPLANT consortium (part of Germany's National Research Data Infrastructure, NFDI), it is designed specifically for publishing data formatted as Annotated Research Contexts (ARCs). ARCs are self-contained digital packages that seamlessly tie together raw experimental omics data (genomics, metabolomics, proteomics, phenomics), detailed metadata, and the exact computational workflows used to analyze them. Built using the open-source InvenioRDM framework, the ARChive features an automated ""Continuous Quality Control"" (CQC) validation pipeline. This ensures that submitted datasets adhere to strict international metadata standards (like ISA, CWL, and MIAPPE) and auto-mints persistent Digital Object Identifiers (DOIs), turning traditional static biological archives into highly reproducible, actionable, and machine-readable assets.",,support@nfdi4plants.de,https://archive.nfdi4plants.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,RFId059202606012,RFId060202604272,Health Study Hub,Life Sciences,NFDI4Health,Life Sciences,,ZB MED – Information Centre for Life Sciences,,"The Health Study Hub (health-study-hub.de) is a specialized national inventory and repository platform built to make German research data from clinical trials, public health, and epidemiological studies comply with FAIR data principles.",,helpdesk@nfdi4health.de,https://health-study-hub.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,RFId060202606012,RFId061202604272,LIMSOPHY,Life Sciences,FAIRagro,Life Sciences,,Leibniz Institut for Plant Genetics and Crop Plant Research (IPK),Database,"LIMSOPHY at IPK is an enterprise-grade Laboratory Information Management System (LIMS) and relational data back-end framework customized specifically for the unique workflows of crop science. Implemented at the Leibniz Institute of Plant Genetics and Crop Plant Research (IPK), it serves as a central digital archive that structures and integrates vast layers of heterogeneous research assets. The platform tracks over 4,000 distinct plant experiments, logs nearly 2.5 million biological probes and material tracking points, and houses upwards of 14 million raw data records—including automated calculation formulas, phenotypic time-series imaging captured by high-throughput LemnaTec systems, and historical genebank passport photographs. By utilizing a customized commercial core from AAC Infotray AG, it reliably connects disparate laboratory data silos while providing programmatic access via the FAIR-IPK REST API to ensure data reproducibility.",,"schueler@ipk-gatersleben.de, lange@ipk-gatersleben.de",,,,,,,,https://FAIRagro.net/en/services/search-hub/our-research-data-infrastructure/,Leibniz Institut for Plant Genetics and Crop Plant Research (IPK),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,RFId061202606012,RFId062202604272,PANGAEA,Natural Sciences,FAIRagro,Natural Sciences,,"Alfred Wegener Institute, Helmholtz Center for Polar and Marine Research (AWI) and Center for Marine Environmental Sciences, University of Bremen (MARUM)",Information System ,Data Publisher for Earth and Environmental Science,Frank Oliver Glöckner,frank.oliver.gloeckner@awi.de,https://www.pangaea.de/,r3d100010134,," geochemical, biological observational and occurrence data from marine and terrestrial environments.","The default licence is CC BY but other types such as CC-0, CC-BY-SA or CC-BY-ND are possible too.",https://kb.gfbio.org/pages/viewpage.action?pageId=113904349,unrestricted,https://www.nfdi4biodiversity.org/en/datenzentren/#:~:text=Image%3A%202,"Alfred Wegener Institute, Helmholtz Center for Polar and Marine Research (AWI) and Center for Marine Environmental Sciences, University of Bremen (MARUM)",,,,,unrestricted,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,
62,RFId062202606012,RFId063202604272,Chemotion Repository ,Natural Sciences,NFDI4Chem,"Chemistry, Natural Sciences",Repository for molecules and research data,"Karlsruhe Institute of Technology (KIT), Institute of Organic Chemistry",Repository,"Chemotion Repository is a field-specific repository for chemistry data, supporting molecules, reactions and associated analytical data.",,nicole.jung@kit.edu,https://www.chemotion-repository.net/welcome,r3d100010748,,Datasets and Images ,"Creative Commons licenses – CC BY-SA 4.0, CC BY 4.0, or CC0. Authors can also publish contents under public domain mark.","https://chemotion.net/docs/repo/faq#:~:text=,Repository%20available",unrestricted,https://www.nfdi4chem.de/repos/,"Karlsruhe Institute of Technology (KIT), Institute of Organic Chemistry",,,,,unrestricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,RFId063202606012,RFId064202604272,MassBank Eurpe,Natural Sciences,NFDI4Chem,"Natural Sciences, Environmental sciences","MassBank, High Resolution Mass Spectral Database, NORMAN MassBank","Helmholtz Centre for Environmental Research (UFZ, Germany)",Repository,"Database of mass spectra of known, unknown and provisionally identified substances.",,tobias.schulze@ufz.de,https://massbank.eu/MassBank/,r3d100011839,,Datasets,CC BY (Creative Commons Attribution),https://knowledgebase.nfdi4chem.de/knowledge_base/docs/licences/,unrestricted,https://knowledgebase.nfdi4chem.de/knowledge_base/docs/choose_repository/,"Helmholtz Centre for Environmental Research (UFZ, Germany)",,,,,unrestricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,RFId064202606012,RFId065202604272,nmrXiv,Natural Sciences,NFDI4Chem,"Natural Sciences, Chemistry",,Friedrich-Schiller-Universität Jena,Repository,"nmrXiv is an open, FAIR and consensus-driven NMR spectroscopy data repository and analysis platform. We archive raw and processed NMR data, providing support for browsing, search, analysis, and dissemination of NMR data worldwide.",,info.nmrxiv@uni-jena.de,https://nmrxiv.org/,r3d100014211,,Datasets,"CC BY (Creative Commons Attribution) , ODC and others. ",https://docs.nmrxiv.org/submission-guides/licenses.html#license,unrestricted,https://knowledgebase.nfdi4chem.de/knowledge_base/docs/choose_repository/,Friedrich-Schiller-Universität Jena,,,,,unrestricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,RFId065202606012,RFId066202604272,RADAR4Chem,Natural Sciences,NFDI4Chem,"Natural Sciences, Chemistry",,FIZ Karlsruhe - Leibniz-Institut für Informationsinfrastruktur GmbH,Repository,"RADAR4Chem is a low‐threshold, easy-to-use publishing service for chemistry research data",,felix.bach@fiz-karlsruhe.de,https://radar4chem.radar-service.eu/radar/en/home,r3d100014010,,Datasets,CC 0,License_and_User_Instructions_for_Data_Providers_RADAR4Chem.pdf,unrestricted,https://knowledgebase.nfdi4chem.de/knowledge_base/docs/choose_repository/,FIZ Karlsruhe - Leibniz-Institut für Informationsinfrastruktur GmbH,,,,,unrestricted,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,
66,RFId066202606012,RFId067202604272,STRENDA DB,Natural Sciences,NFDI4Chem,"Natural Sciences, Chemistry",Standards for Reporting Enzymology Data,Beilstein-Institut zur Förderung der Chemischen Wissenschaften,Data portal,"STRENDA DB is a storage and search platform supported by the Beilstein-Institut that incorporates the STRENDA Guidelines in a user-friendly, web-based system.",,strenda@beilstein-institut.de,https://www.beilstein-strenda-db.org/strenda/,r3d100012329,,Datasets,CC,https://www.re3data.org/repository/r3d100012329,unrestricted,https://knowledgebase.nfdi4chem.de/knowledge_base/docs/choose_repository/,Beilstein-Institut zur Förderung der Chemischen Wissenschaften,,,,,unrestricted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
